id;nome;codigo;situacao;cat_administrativa;dep_administrativa;cep;bairro_id;endereco;zona;lat;long;Telefone;email;extensao;porte
81;EM PROFª MAZZARELLO CAVALCANTI REIS DA ROCHA;29469120;Ativa;Publica;Municipal;48914-108;;PRACA MISAEL AGUILAR, S/N AVENIDA PRINCIPAL. JOAO PAULO II.;Urbana;-9.473195;-40.49833;;;NÃO;Entre 201 e 500 matrículas de escolarização
82;EM PROFª OSCARLINA TANURI;29026725;Ativa;Publica;Municipal;48922-200;;RUA PRINCIPAL, S/N MANGA II - SALITRE. MANGA II.;Rural;-9.674563212;-40.60533011;;;NÃO;Entre 51 e 200 matrículas de escolarização
83;EM PROFª TEREZINHA FERREIRA DE OLIVEIRA;29025397;Ativa;Publica;Municipal;48906-165;;RUA PARAISO, S/N TABULEIRO.;Urbana;-9.433172867;-40.4757857;;;NÃO;Mais de 1000 matrículas de escolarização
84;EM PROMENOR;29025524;Ativa;Publica;Municipal;48905-231;;RODOVIA RODOVIA LOMANTO JUNIOR KM2, S/N ALTO DO CRUZEIRO.;Urbana;-9.43345454;-40.49659474;(74) 36110246;;NÃO;Entre 201 e 500 matrículas de escolarização
85;EM RAIMUNDO CLEMENTINO DE SOUZA;29027055;Ativa;Publica;Municipal;48924-000;;RUA DA RODOVIA, S/N DISTRITO DE PINHOES.;Rural;-9.578492;-39.8925;(74) 999759179;;NÃO;Entre 201 e 500 matrículas de escolarização
86;EM RAIMUNDO MEDRADO PRIMO;29424445;Ativa;Publica;Municipal;48901-340;;RUA SEBASTIAO ALMEIDA BRANCO, QUIDEZINHO. PEDRA DO LORD.;Urbana;-9.430320966;-40.53358379;(74) 36115726;;NÃO;Entre 51 e 200 matrículas de escolarização
87;EM RURAL DE MASSAROCA;29341779;Ativa;Publica;Municipal;48922-600;;FAZENDA LAGOINHA, S/N PREDIO.;Rural;;;(74) 994436003;;NÃO;Entre 51 e 200 matrículas de escolarização
88;EM RURAL DE TEMPO INTEGRAL SAO JOSE;29469112;Ativa;Publica;Municipal;48923-000;;PROJETO CURACA NH04,;Rural;;;(74) 999646070;;NÃO;Entre 201 e 500 matrículas de escolarização
89;EM SANTA INES;29026288;Ativa;Publica;Municipal;48920-899;;AREA AREA RURAL, AREA RURAL DE JUAZEIRO.;Rural;-9.32969421;-40.29916914;(74) 36123354;;NÃO;Entre 501 e 1000 matrículas de escolarização
90;EM SANTA TEREZINHA - JAZIDA SETE;29026300;Ativa;Publica;Municipal;48920-899;;POVOADO DE JAZIDA, S/N AREA RURAL DE JUAZEIRO.;Rural;;;(74) 88110653;;NÃO;Entre 51 e 200 matrículas de escolarização
91;EM SANTO ANTONIO;29025010;Ativa;Publica;Municipal;48923-000;;PROJETO CURACA NH03, S/N VILA SANTO ANTONIO. ITAMOTINGA.;Rural;-9.14507713;-40.02686413;(74) 36187055;;NÃO;Entre 501 e 1000 matrículas de escolarização
92;EM SAO FRANCISCO DE ASSIS - MULUNGU;29026350;Ativa;Publica;Municipal;48924-000;;MULUNGU- MANICOBA, PROJETO MANICOBA.;Rural;;;;;NÃO;Até 50 matrículas de escolarização
